# Ranked static MoE experts: layer expert miss_count access_count bytes
# budget_mib=8192 selected=4491 phase=prefill selected_mib=8190.41 trace_avoidable_mib=23241270.70
37 138 3830 5351 1900544
38 168 3827 5186 2039808
32 127 3824 4247 1900544
0 208 3823 7602 1900544
21 228 3823 5873 1900544
33 108 3820 5595 1900544
34 186 3819 6410 2039808
3 211 3819 6044 1900544
35 121 3815 4375 1900544
24 242 3813 6845 1900544
4 14 3810 5166 1900544
15 248 3809 6014 1900544
6 22 3808 8866 1900544
2 108 3807 4438 1900544
8 175 3806 7010 1900544
4 161 3805 5412 1900544
0 6 3805 4689 1900544
23 178 3799 4817 1900544
19 130 3798 4540 1900544
26 124 3794 4534 1900544
0 101 3793 5735 1900544
34 116 3793 5055 2039808
34 213 3792 5654 2039808
28 107 3792 5448 1900544
2 198 3792 4825 1900544
5 205 3789 9288 1900544
0 66 3789 5986 1900544
34 180 3789 4517 2039808
13 164 3786 7237 1900544
5 41 3786 4088 1900544
8 234 3783 5160 1900544
27 165 3782 10150 1900544
21 126 3781 5693 1900544
16 107 3780 5257 1900544
32 75 3780 5197 1900544
32 28 3779 5895 1900544
24 53 3779 4880 1900544
9 94 3778 6219 1900544
31 55 3777 4859 1900544
4 79 3776 6068 1900544
26 244 3776 4184 1900544
3 87 3773 5582 1900544
34 205 3772 4288 2039808
18 161 3771 6039 1900544
23 80 3767 12791 1900544
32 117 3765 7459 1900544
32 14 3765 5344 1900544
21 180 3765 4428 1900544
11 36 3764 6122 1900544
3 171 3764 5336 1900544
26 215 3763 5205 1900544
14 103 3762 7617 1900544
39 190 3761 4512 2039808
21 217 3761 4074 1900544
29 164 3760 4501 1900544
33 167 3759 4248 1900544
23 174 3752 4441 1900544
32 26 3751 5356 1900544
1 191 3750 5886 1900544
22 24 3750 4643 1900544
36 19 3749 3959 1900544
34 1 3746 8957 2039808
34 175 3745 5784 2039808
27 225 3745 4897 1900544
29 49 3745 4614 1900544
36 44 3745 4313 1900544
19 163 3744 4482 1900544
10 130 3743 5957 1900544
33 0 3742 4529 1900544
25 108 3738 9608 1900544
0 205 3737 5498 1900544
34 74 3737 5362 2039808
2 188 3735 6471 1900544
33 107 3734 6057 1900544
21 19 3734 4685 1900544
39 91 3733 4308 2039808
21 39 3729 4043 1900544
34 97 3728 4291 2039808
7 223 3727 4992 1900544
38 191 3723 4899 2039808
34 128 3721 4885 2039808
2 81 3721 4384 1900544
35 86 3717 5463 1900544
2 58 3715 5865 1900544
2 88 3713 4940 1900544
33 41 3712 4106 1900544
33 68 3710 5975 1900544
0 106 3709 6633 1900544
39 13 3708 8088 2039808
29 5 3708 5568 1900544
1 92 3705 5066 1900544
36 148 3705 4082 1900544
27 150 3704 6398 1900544
16 245 3703 5473 1900544
3 118 3702 5037 1900544
36 2 3702 4173 1900544
27 35 3700 4857 1900544
32 48 3699 4603 1900544
8 33 3698 4829 1900544
32 116 3698 4183 1900544
24 153 3694 4222 1900544
23 39 3693 4936 1900544
3 231 3692 4159 1900544
39 166 3692 4072 2039808
20 127 3689 5013 1900544
1 157 3689 4848 1900544
2 94 3689 4799 1900544
38 156 3686 3961 2039808
4 74 3684 5182 1900544
11 136 3684 5175 1900544
1 189 3683 5535 1900544
35 196 3681 5199 1900544
3 84 3681 4219 1900544
0 32 3680 4954 1900544
11 108 3674 11061 1900544
38 79 3674 6026 2039808
17 172 3673 3940 1900544
34 108 3670 8068 2039808
36 24 3670 7779 1900544
2 92 3670 6824 1900544
1 209 3670 5699 1900544
35 225 3669 4331 1900544
1 250 3665 9646 1900544
20 157 3664 5049 1900544
10 161 3664 4469 1900544
2 139 3663 5099 1900544
5 71 3662 5812 1900544
37 109 3661 6303 1900544
8 159 3659 5439 1900544
20 11 3655 4039 1900544
34 92 3653 5007 2039808
17 211 3653 4353 1900544
39 250 3652 6976 2039808
16 190 3652 5688 1900544
25 33 3652 4101 1900544
29 241 3651 7091 1900544
1 89 3651 5202 1900544
13 118 3651 4464 1900544
31 121 3650 5664 1900544
21 6 3649 6136 1900544
0 57 3648 6146 1900544
22 109 3648 4180 1900544
38 52 3647 3925 2039808
12 26 3646 5020 1900544
37 123 3645 4402 1900544
4 254 3644 4858 1900544
3 59 3644 4299 1900544
34 80 3641 4438 2039808
24 68 3640 5867 1900544
2 65 3639 4667 1900544
19 12 3638 4701 1900544
36 45 3637 6738 1900544
1 44 3636 4814 1900544
27 82 3636 4009 1900544
2 1 3635 4911 1900544
23 18 3633 5859 1900544
36 251 3632 6132 1900544
38 252 3632 5028 2039808
3 219 3631 4937 1900544
29 160 3627 4529 1900544
0 10 3627 4420 1900544
1 182 3626 7356 1900544
36 152 3625 6236 1900544
8 239 3625 5523 1900544
3 85 3625 4671 1900544
2 95 3624 5446 1900544
30 43 3622 11291 1900544
26 149 3622 5218 1900544
4 156 3622 4670 1900544
24 216 3622 4500 1900544
35 94 3621 4654 1900544
15 65 3621 4523 1900544
4 88 3620 10400 1900544
32 178 3620 6321 1900544
29 37 3619 5190 1900544
21 209 3618 4090 1900544
21 113 3616 4535 1900544
23 62 3614 3892 1900544
3 236 3613 6315 1900544
37 43 3613 4321 1900544
31 247 3611 5896 1900544
